Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
42.7,4/21/2026 10:50:23 AM,7366,109.9,0.04939,46.3,0.1799,0.6722,2.269,0,0,0,100,16.28,0.2226,404.3,200,1,0,-0.1797,1,1,1,-1,1,1,1,3.947,3,4,[ OK ]
44.0,4/21/2026 10:50:24 AM,7367,109.9,0.05109,47.07,0.1379,0.6157,1.986,0,0,0,100,16.28,0.2213,404.1,200,1,0,-0.768,1,1,1,1,1,1,1,4,4,-1,[ OK ]
46.3,4/21/2026 10:50:27 AM,7370,109.9,0.05869,51.43,0.121,0.567,1.738,0,0,0,100,16.28,0.2245,404.4,200,1,0,-0.9016,1,1,1,1,1,1,1,4,4,-1,[ OK ]
47.2,4/21/2026 10:50:28 AM,7371,109.9,0.06891,58.15,0.1273,0.5547,1.677,0,0,0,100,16.28,0.2267,404.4,200,1,0,-0.644,1,1,1,1,1,1,1,4,4,-1,[ OK ]
47.7,4/21/2026 10:50:28 AM,7371,109.9,0.0762,61.74,0.1396,0.5505,1.65,0,0,0,100,16.28,0.2294,404.5,200,1,0,-0.6639,1,1,1,1,1,1,1,4,4,-1,[ OK ]
48.2,4/21/2026 10:50:28 AM,7372,109.9,0.07963,66.14,0.1427,0.5463,1.634,0,0,0,100,16.28,0.2305,404.1,200,1,0,-0.587,1,1,1,1,1,1,1,4,4,-1,[ OK ]
49.1,4/21/2026 10:50:29 AM,7372,109.9,0.09019,70.09,0.1561,0.5431,1.626,0,0,0,100,16.28,0.2323,404.4,200,1,0,-0.5176,1,1,1,1,1,1,1,4,4,-1,[ OK ]
49.7,4/21/2026 10:50:30 AM,7373,109.9,0.1011,81.5,0.1691,0.5384,1.587,0,0,0,100,16.28,0.2359,404.4,200,1,0,-0.3921,1,1,1,1,1,1,1,4,4,-1,[ OK ]
50.2,4/21/2026 10:50:31 AM,7374,109.9,0.1055,85.86,0.1887,0.5364,1.578,0,0,0,100,16.28,0.2355,404.4,200,1,0,-0.2959,1,1,1,1,1,1,1,4,4,-1,[ OK ]
50.6,4/21/2026 10:50:31 AM,7374,109.9,0.1084,89.65,0.179,0.5338,1.585,0,0,0,100,16.28,0.238,404.2,200,1,0,-0.2608,1,1,1,1,1,1,1,4,4,-1,[ OK ]
